Country,Region,City,Location,URL,Info
Canada,Alberta,Calgary, Chinook Centre,/ca/retail/chinookcentre/,"
Calgary, Chinook Centre
6455 Macleod Trail SW
Calgary, Alberta T2H 0K8
(403) 444-3759
"
Canada,Alberta,Calgary, Chinook Centre,/ca/retail/marketmall/,"
Calgary, Market Mall
3625 Shaganappi Trail NW
Calgary, Alberta T3A 0E2
(403) 648-4865
"
Canada,Alberta,Calgary, Chinook Centre,/ca/retail/southgatecentre/,"
Edmonton, Southgate Centre
5015 111 St
Edmonton, Alberta T6H 4M6
(780) 801-3820
"
Canada,Alberta,Calgary, Chinook Centre,/ca/retail/westedmonton/,"
Edmonton, West Edmonton
8882-170 Street
Edmonton, Alberta T5T 4M2
(780) 701-0540
"
Canada,British Columbia,Burnaby, Metrotown,/ca/retail/metrotown/,"
Burnaby, Metrotown
320 4700 Kingsway
Burnaby, British Columbia V5H 4J2
(778) 373-4810
"
Canada,British Columbia,Burnaby, Metrotown,/ca/retail/coquitlamcentre/,"
Coquitlam, Coquitlam Centre
2929 Barnet Highway
Coquitlam, British Columbia V3B 5R5
(604) 945-1160
"
Canada,British Columbia,Burnaby, Metrotown,/ca/retail/richmondcentre/,"
Richmond, Richmond Centre
6551 No. 3 Road
Richmond, British Columbia V6Y 2B6
(604) 248-3940
"
Canada,British Columbia,Burnaby, Metrotown,/ca/retail/guildfordtowncentre/,"
Surrey, Guildford Town Centre
10355 152 Street
Surrey, British Columbia V3R 7C1
(604) 634-3240
"
Canada,British Columbia,Burnaby, Metrotown,/ca/retail/oakridgecentre/,"
Vancouver, Oakridge Centre
650 West 41st Avenue
Vancouver, British Columbia V5Z 2M9
(778) 373-4500
"
Canada,British Columbia,Burnaby, Metrotown,/ca/retail/pacificcentre/,"
Vancouver, Pacific Centre
701 West Georgia Street
Vancouver, British Columbia V7Y 1G5
(778) 373-1800
"
Canada,Manitoba,Winnipeg, Polo Park,/ca/retail/polopark/,"
Winnipeg, Polo Park
1485 Portage Avenue
Winnipeg, Manitoba R3G 0W4
(204) 777-4500
"
Canada,Nova Scotia,Halifax, Halifax Shopping Centre,/ca/retail/halifaxshoppingcentre/,"
Halifax, Halifax Shopping Centre
7001 Mumford Road
Halifax, Nova Scotia B3L 4N9
(902) 442-3495
"
Canada,Ontario,Burlington, Mapleview Centre,/ca/retail/mapleviewcentre/,"
Burlington, Mapleview Centre
900 Maple Avenue
Burlington, Ontario L7S 2J8
(289) 288-2012
"
Canada,Ontario,Burlington, Mapleview Centre,/ca/retail/masonville/,"
London, Masonville
1680 Richmond Street North
London, Ontario N6G 3Y9
(519) 963-4060
"
Canada,Ontario,Burlington, Mapleview Centre,/ca/retail/markvilleshoppingcentre/,"
Markham, Markville Shopping Centre
5000 Highway 7 East
Markham, Ontario L3R 4M9
(905) 513-2860
"
Canada,Ontario,Burlington, Mapleview Centre,/ca/retail/squareone/,"
Mississauga, Square One
100 City Centre Drive
Mississauga, Ontario L5B 2C9
(905) 366-0580
"
Canada,Ontario,Burlington, Mapleview Centre,/ca/retail/uppercanadamall/,"
Newmarket, Upper Canada Mall
17600 Yonge Street
Newmarket, Ontario L3Y 4Z1
(905) 952-3400
"
Canada,Ontario,Burlington, Mapleview Centre,/ca/retail/bayshoreshoppingcentre/,"
Ottawa, Bayshore Shopping Centre
100 Bayshore Drive
Ottawa, Ontario K2B 8C1
(613) 288-7950
"
Canada,Ontario,Burlington, Mapleview Centre,/ca/retail/rideau/,"
Ottawa, Rideau
50 Rideau Street
Ottawa, Ontario K1N 9J7
(613) 688-5575
"
Canada,Ontario,Burlington, Mapleview Centre,/ca/retail/eatoncentre/,"
Toronto, Eaton Centre
220 Yonge Street
Toronto, Ontario M5B 2H1
(647) 258-0801
"
Canada,Ontario,Burlington, Mapleview Centre,/ca/retail/fairview/,"
Toronto, Fairview
1800 Sheppard Avenue East
Toronto, Ontario M2J 5A7
(416) 646-4412
"
