City,Location,URL
Birmingham, The Summit,/retail/thesummit/
Huntsville, Bridge Street,/retail/bridgestreet/
Anchorage, Anchorage 5th Avenue Mall,/retail/anchorage5thavenuemall/
Chandler, Chandler Fashion Center,/retail/chandlerfashioncenter/
Gilbert, SanTan Village,/retail/santanvillage/
Glendale, Arrowhead,/retail/arrowhead/
Phoenix, Biltmore,/retail/biltmore/
Scottsdale, Scottsdale Quarter,/retail/scottsdalequarter/
Tucson, La Encantada,/retail/laencantada/
Little Rock, The Promenade at Chenal,/retail/thepromenadeatchenal/
Bakersfield, Valley Plaza,/retail/valleyplaza/
Berkeley, 4th Street,/retail/4thstreet/
Brea, Brea Mall,/retail/breamall/
Burlingame, Burlingame,/retail/burlingame/
Canoga Park, Topanga,/retail/topanga/
Carlsbad, Carlsbad,/retail/carlsbad/
Cerritos, Los Cerritos,/retail/loscerritos/
Chula Vista, Otay Ranch,/retail/otayranch/
Corte Madera, Corte Madera,/retail/cortemadera/
Costa Mesa, South Coast Plaza,/retail/southcoastplaza/
Cupertino, Apple Park Visitor Center,/retail/appleparkvisitorcenter/
Cupertino, Infinite Loop,/retail/infiniteloop/
Emeryville, Bay Street,/retail/baystreet/
Escondido, North County,/retail/northcounty/
Fresno, Fashion Fair,/retail/fashionfair/
Glendale, Glendale Galleria,/retail/glendalegalleria/
Glendale, The Americana at Brand,/retail/theamericanaatbrand/
Irvine, Irvine Spectrum Center,/retail/irvinespectrumcenter/
Los Angeles, Beverly Center,/retail/beverlycenter/
Los Angeles, Century City,/retail/centurycity/
Los Angeles, The Grove,/retail/thegrove/
Los Gatos, Los Gatos,/retail/losgatos/
Manhattan Beach, Manhattan Village,/retail/manhattanvillage/
Mission Viejo, Mission Viejo,/retail/missionviejo/
Modesto, Vintage Faire,/retail/vintagefaire/
Monterey, Del Monte,/retail/delmonte/
Newport Beach, Fashion Island,/retail/fashionisland/
Northridge, Northridge,/retail/northridge/
Palm Desert, El Paseo Village,/retail/elpaseovillage/
Palo Alto, Palo Alto,/retail/paloalto/
Palo Alto, Stanford,/retail/stanford/
Pasadena, Pasadena,/retail/pasadena/
Pleasanton, Stoneridge Mall,/retail/stoneridgemall/
Rancho Cucamonga, Victoria Gardens,/retail/victoriagardens/
Roseville, Roseville,/retail/roseville/
Sacramento, Arden Fair,/retail/ardenfair/
San Diego, Fashion Valley,/retail/fashionvalley/
San Diego, UTC,/retail/utc/
San Francisco, Chestnut Street,/retail/chestnutstreet/
San Francisco, Stonestown,/retail/stonestown/
San Francisco, Union Square,/retail/unionsquare/
San Jose, Oakridge,/retail/oakridge/
San Luis Obispo, Higuera Street,/retail/higuerastreet/
San Mateo, Hillsdale,/retail/hillsdale/
Santa Barbara, State Street,/retail/statestreet/
Santa Clara, Valley Fair,/retail/valleyfair/
Santa Monica, Third Street Promenade,/retail/thirdstreetpromenade/
Santa Rosa, Santa Rosa Plaza,/retail/santarosaplaza/
Sherman Oaks, Sherman Oaks,/retail/shermanoaks/
Temecula, Promenade Temecula,/retail/promenadetemecula/
Thousand Oaks, The Oaks,/retail/theoaks/
Valencia, Valencia Town Center,/retail/valenciatowncenter/
Walnut Creek, Walnut Creek,/retail/walnutcreek/
Boulder, Twenty Ninth Street,/retail/twentyninthstreet/
